DUMMY_TO_DELETE,MONTH,WEEKDAY, HR ,PH
15,1,2,1,6331
15,1,2,2,5702
15,1,2,3,5373
15,1,2,4,5121
15,1,2,5,5029
15,1,2,6,4903
15,1,2,7,4693
15,1,2,8,4775
15,1,2,9,4895
15,1,2,10,5041
15,1,2,11,5343
15,1,2,12,5667
15,1,2,13,5654
15,1,2,14,5700
15,1,2,15,5642
15,1,2,16,5597
15,1,2,17,5605
15,1,2,18,6690
15,1,2,19,7033
15,1,2,20,6994
15,1,2,21,6761
15,1,2,22,6326
15,1,2,23,5837
15,1,2,24,5449
15,1,3,1,5252
15,1,3,2,5097
15,1,3,3,4945
15,1,3,4,4859
15,1,3,5,4924
15,1,3,6,5135
15,1,3,7,5364
15,1,3,8,6144
15,1,3,9,7186
15,1,3,10,7958
15,1,3,11,8347
15,1,3,12,8297
15,1,3,13,8256
15,1,3,14,8468
15,1,3,15,8331
15,1,3,16,8262
15,1,3,17,7967
15,1,3,18,8641
15,1,3,19,8653
15,1,3,20,8328
15,1,3,21,7970
15,1,3,22,7476
15,1,3,23,6863
15,1,3,24,6445
15,1,4,1,6119
15,1,4,2,5905
15,1,4,3,5758
15,1,4,4,5755
15,1,4,5,5827
15,1,4,6,6076
15,1,4,7,6279
15,1,4,8,6944
15,1,4,9,8011
15,1,4,10,8657
15,1,4,11,8974
15,1,4,12,8860
15,1,4,13,8758
15,1,4,14,9037
15,1,4,15,8865
15,1,4,16,8772
15,1,4,17,8528
15,1,4,18,9109
15,1,4,19,9093
15,1,4,20,8740
15,1,4,21,8390
15,1,4,22,7781
15,1,4,23,7191
15,1,4,24,6706
15,1,5,1,6475
15,1,5,2,6198
15,1,5,3,6053
15,1,5,4,5977
15,1,5,5,6050
15,1,5,6,6338
15,1,5,7,6439
15,1,5,8,7154
15,1,5,9,8158
15,1,5,10,8779
15,1,5,11,9163
15,1,5,12,8951
15,1,5,13,8877
15,1,5,14,9122
15,1,5,15,9041
15,1,5,16,8974
15,1,5,17,8568
15,1,5,18,9118
15,1,5,19,9126
15,1,5,20,8781
15,1,5,21,8512
15,1,5,22,7884
15,1,5,23,7411
15,1,5,24,6893
15,1,6,1,6573
15,1,6,2,6392
15,1,6,3,6219
15,1,6,4,6076
15,1,6,5,6125
15,1,6,6,6265
15,1,6,7,6240
15,1,6,8,6814
15,1,6,9,7694
15,1,6,10,8253
15,1,6,11,8552
15,1,6,12,8470
15,1,6,13,8395
15,1,6,14,8624
15,1,6,15,8460
15,1,6,16,8282
15,1,6,17,8028
15,1,6,18,8828
15,1,6,19,8965
15,1,6,20,8705
15,1,6,21,8480
15,1,6,22,7896
15,1,6,23,7374
15,1,6,24,6896
15,1,7,1,6522
15,1,7,2,6343
15,1,7,3,6121
15,1,7,4,6074
15,1,7,5,6031
15,1,7,6,6039
15,1,7,7,5905
15,1,7,8,6133
15,1,7,9,6668
15,1,7,10,7194
15,1,7,11,7557
15,1,7,12,7610
15,1,7,13,7501
15,1,7,14,7555
15,1,7,15,7485
15,1,7,16,7350
15,1,7,17,7252
15,1,7,18,8264
15,1,7,19,8487
15,1,7,20,8423
15,1,7,21,8102
15,1,7,22,7517
15,1,7,23,6991
15,1,7,24,6581
15,1,1,1,6199
15,1,1,2,5981
15,1,1,3,5816
15,1,1,4,5808
15,1,1,5,6059
15,1,1,6,6433
15,1,1,7,6509
15,1,1,8,7214
15,1,1,9,8260
15,1,1,10,8961
15,1,1,11,9456
15,1,1,12,9242
15,1,1,13,9180
15,1,1,14,9360
15,1,1,15,9318
15,1,1,16,9243
15,1,1,17,8915
15,1,1,18,9413
15,1,1,19,9444
15,1,1,20,9114
15,1,1,21,8739
15,1,1,22,8113
15,1,1,23,7471
15,1,1,24,6943
15,1,2,1,6630
15,1,2,2,6357
15,1,2,3,6225
15,1,2,4,6207
15,1,2,5,6425
15,1,2,6,6724
15,1,2,7,6769
15,1,2,8,7451
15,1,2,9,8529
15,1,2,10,9123
15,1,2,11,9500
15,1,2,12,9252
15,1,2,13,9187
15,1,2,14,9437
15,1,2,15,9311
15,1,2,16,9202
15,1,2,17,8884
15,1,2,18,9345
15,1,2,19,9426
15,1,2,20,9053
15,1,2,21,8665
15,1,2,22,8045
15,1,2,23,7331
15,1,2,24,6980
15,1,3,1,6546
15,1,3,2,6356
15,1,3,3,6220
15,1,3,4,6156
15,1,3,5,6435
15,1,3,6,6820
15,1,3,7,6771
15,1,3,8,7463
15,1,3,9,8459
15,1,3,10,9155
15,1,3,11,9501
15,1,3,12,9189
15,1,3,13,9171
15,1,3,14,9441
15,1,3,15,9330
15,1,3,16,9211
15,1,3,17,8860
15,1,3,18,9313
15,1,3,19,9384
15,1,3,20,9068
15,1,3,21,8610
15,1,3,22,8019
15,1,3,23,7352
15,1,3,24,6824
15,1,4,1,6515
15,1,4,2,6263
15,1,4,3,6147
15,1,4,4,6073
15,1,4,5,6319
15,1,4,6,6604
15,1,4,7,6634
15,1,4,8,7348
15,1,4,9,8339
15,1,4,10,8945
15,1,4,11,9246
15,1,4,12,8962
15,1,4,13,8868
15,1,4,14,9129
15,1,4,15,8997
15,1,4,16,8938
15,1,4,17,8615
15,1,4,18,9104
15,1,4,19,9130
15,1,4,20,8836
15,1,4,21,8420
15,1,4,22,7683
15,1,4,23,7141
15,1,4,24,6656
15,1,5,1,6308
15,1,5,2,6188
15,1,5,3,6078
15,1,5,4,6004
15,1,5,5,6264
15,1,5,6,6611
15,1,5,7,6680
15,1,5,8,7282
15,1,5,9,8316
15,1,5,10,8910
15,1,5,11,9142
15,1,5,12,8885
15,1,5,13,8760
15,1,5,14,8989
15,1,5,15,8866
15,1,5,16,8783
15,1,5,17,8543
15,1,5,18,9106
15,1,5,19,9043
15,1,5,20,8770
15,1,5,21,8383
15,1,5,22,7759
15,1,5,23,7114
15,1,5,24,6663
15,1,6,1,6285
15,1,6,2,6138
15,1,6,3,6007
15,1,6,4,5865
15,1,6,5,5969
15,1,6,6,6101
15,1,6,7,6242
15,1,6,8,6774
15,1,6,9,7511
15,1,6,10,8062
15,1,6,11,8540
15,1,6,12,8341
15,1,6,13,8218
15,1,6,14,8395
15,1,6,15,8229
15,1,6,16,8032
15,1,6,17,7946
15,1,6,18,8653
15,1,6,19,8792
15,1,6,20,8560
15,1,6,21,8291
15,1,6,22,7722
15,1,6,23,7061
15,1,6,24,6643
15,1,7,1,6390
15,1,7,2,6143
15,1,7,3,5937
15,1,7,4,5819
15,1,7,5,5898
15,1,7,6,5902
15,1,7,7,5781
15,1,7,8,6113
15,1,7,9,6597
15,1,7,10,7159
15,1,7,11,7512
15,1,7,12,7480
15,1,7,13,7488
15,1,7,14,7448
15,1,7,15,7277
15,1,7,16,7217
15,1,7,17,7222
15,1,7,18,8151
15,1,7,19,8447
15,1,7,20,8311
15,1,7,21,7898
15,1,7,22,7344
15,1,7,23,6823
15,1,7,24,6366
15,1,1,1,6043
15,1,1,2,5794
15,1,1,3,5628
15,1,1,4,5619
15,1,1,5,5893
15,1,1,6,6307
15,1,1,7,6353
15,1,1,8,7098
15,1,1,9,8121
15,1,1,10,8765
15,1,1,11,9108
15,1,1,12,8853
15,1,1,13,8774
15,1,1,14,9052
15,1,1,15,8991
15,1,1,16,8896
15,1,1,17,8684
15,1,1,18,9165
15,1,1,19,9113
15,1,1,20,8785
15,1,1,21,8415
15,1,1,22,7766
15,1,1,23,7128
15,1,1,24,6566
15,1,2,1,6277
15,1,2,2,6039
15,1,2,3,5878
15,1,2,4,5935
15,1,2,5,6149
15,1,2,6,6544
15,1,2,7,6460
15,1,2,8,7131
15,1,2,9,8127
15,1,2,10,8670
15,1,2,11,8938
15,1,2,12,8708
15,1,2,13,8646
15,1,2,14,8847
15,1,2,15,8801
15,1,2,16,8641
15,1,2,17,8460
15,1,2,18,8815
15,1,2,19,8872
15,1,2,20,8546
15,1,2,21,8065
15,1,2,22,7442
15,1,2,23,6841
15,1,2,24,6352
15,1,3,1,6111
15,1,3,2,5914
15,1,3,3,5860
15,1,3,4,5822
15,1,3,5,6059
15,1,3,6,6533
15,1,3,7,6544
15,1,3,8,7092
15,1,3,9,8033
15,1,3,10,8553
15,1,3,11,8888
15,1,3,12,8616
15,1,3,13,8576
15,1,3,14,8779
15,1,3,15,8721
15,1,3,16,8631
15,1,3,17,8323
15,1,3,18,8750
15,1,3,19,8913
15,1,3,20,8557
15,1,3,21,8147
15,1,3,22,7497
15,1,3,23,6770
15,1,3,24,6318
15,1,4,1,5979
15,1,4,2,5764
15,1,4,3,5668
15,1,4,4,5674
15,1,4,5,5918
15,1,4,6,6366
15,1,4,7,6304
15,1,4,8,6996
15,1,4,9,7940
15,1,4,10,8573
15,1,4,11,8999
15,1,4,12,8736
15,1,4,13,8654
15,1,4,14,8925
15,1,4,15,8764
15,1,4,16,8660
15,1,4,17,8287
15,1,4,18,8741
15,1,4,19,8953
15,1,4,20,8567
15,1,4,21,8174
15,1,4,22,7533
15,1,4,23,6855
15,1,4,24,6427
15,1,5,1,6102
15,1,5,2,5996
15,1,5,3,5816
15,1,5,4,5839
15,1,5,5,6125
15,1,5,6,6488
15,1,5,7,6479
15,1,5,8,7135
15,1,5,9,8006
15,1,5,10,8568
15,1,5,11,8860
15,1,5,12,8621
15,1,5,13,8506
15,1,5,14,8792
15,1,5,15,8680
15,1,5,16,8548
15,1,5,17,8256
15,1,5,18,8593
15,1,5,19,8755
15,1,5,20,8412
15,1,5,21,8125
15,1,5,22,7566
15,1,5,23,6881
15,1,5,24,6382
15,1,6,1,6027
15,1,6,2,5892
15,1,6,3,5761
15,1,6,4,5729
15,1,6,5,5813
15,1,6,6,6022
15,1,6,7,6162
15,1,6,8,6686
15,1,6,9,7333
15,1,6,10,7816
15,1,6,11,8142
15,1,6,12,7932
15,1,6,13,7802
15,1,6,14,7923
15,1,6,15,7761
15,1,6,16,7589
15,1,6,17,7481
15,1,6,18,7990
15,1,6,19,8359
15,1,6,20,8007
15,1,6,21,7696
15,1,6,22,7040
15,1,6,23,6467
15,1,6,24,6079
15,1,7,1,5789
15,1,7,2,5630
15,1,7,3,5462
15,1,7,4,5435
15,1,7,5,5453
15,1,7,6,5528
15,1,7,7,5519
15,1,7,8,5794
15,1,7,9,6154
15,1,7,10,6666
15,1,7,11,6992
15,1,7,12,6857
15,1,7,13,6788
15,1,7,14,6818
15,1,7,15,6718
15,1,7,16,6665
15,1,7,17,6630
15,1,7,18,7376
15,1,7,19,7883
15,1,7,20,7717
15,1,7,21,7271
15,1,7,22,6703
15,1,7,23,6264
15,1,7,24,5871
15,1,1,1,5446
15,1,1,2,5273
15,1,1,3,5175
15,1,1,4,5163
15,1,1,5,5503
15,1,1,6,5999
15,1,1,7,6075
15,1,1,8,6785
15,1,1,9,7794
15,1,1,10,8534
15,1,1,11,8889
15,1,1,12,8690
15,1,1,13,8582
15,1,1,14,8869
15,1,1,15,8743
15,1,1,16,8672
15,1,1,17,8397
15,1,1,18,8767
15,1,1,19,8916
15,1,1,20,8609
15,1,1,21,8249
15,1,1,22,7579
15,1,1,23,6903
15,1,1,24,6501
15,1,2,1,6148
15,1,2,2,5971
15,1,2,3,5833
15,1,2,4,5814
15,1,2,5,6098
15,1,2,6,6531
15,1,2,7,6519
15,1,2,8,7182
15,1,2,9,8163
15,1,2,10,8720
15,1,2,11,9060
15,1,2,12,8790
15,1,2,13,8700
15,1,2,14,8847
15,1,2,15,8720
15,1,2,16,8664
15,1,2,17,8386
15,1,2,18,8761
15,1,2,19,8935
15,1,2,20,8581
15,1,2,21,8117
15,1,2,22,7505
15,1,2,23,6822
15,1,2,24,6335
15,1,3,1,6003
15,1,3,2,5838
15,1,3,3,5678
15,1,3,4,5739
15,1,3,5,5991
15,1,3,6,6401
15,1,3,7,6441
15,1,3,8,7023
15,1,3,9,8026
15,1,3,10,8565
15,1,3,11,8851
15,1,3,12,8636
15,1,3,13,8518
15,1,3,14,8804
15,1,3,15,8683
15,1,3,16,8553
15,1,3,17,8318
15,1,3,18,8775
15,1,3,19,8907
15,1,3,20,8565
15,1,3,21,8221
15,1,3,22,7506
15,1,3,23,6752
15,1,3,24,6269
15,1,4,1,5925
15,1,4,2,5802
15,1,4,3,5675
15,1,4,4,5635
15,1,4,5,5957
15,1,4,6,6366
15,1,4,7,6332
15,1,4,8,6981
15,1,4,9,7954
15,1,4,10,8578
15,1,4,11,8916
15,1,4,12,8692
15,1,4,13,8700
15,1,4,14,8950
15,1,4,15,8827
15,1,4,16,8783
15,1,4,17,8501
15,1,4,18,8812
15,1,4,19,9020
15,1,4,20,8710
15,1,4,21,8296
15,1,4,22,7567
15,1,4,23,6867
15,1,4,24,6409
15,1,5,1,6060
15,1,5,2,5942
15,1,5,3,5758
15,1,5,4,5760
15,1,5,5,6028
15,1,5,6,6437
15,1,5,7,6426
15,1,5,8,7035
15,1,5,9,8021
15,1,5,10,8646
15,1,5,11,9057
15,1,5,12,8776
15,1,5,13,8779
15,1,5,14,9057
15,1,5,15,8903
15,1,5,16,8824
15,1,5,17,8560
15,1,5,18,8936
15,1,5,19,9100
15,1,5,20,8766
15,1,5,21,8468
15,1,5,22,7855
15,1,5,23,7208
15,1,5,24,6665
15,1,6,1,6281
15,1,6,2,6140
15,1,6,3,5962
15,1,6,4,5922
15,1,6,5,5987
15,1,6,6,6182
15,1,6,7,6248
15,1,6,8,6692
15,1,6,9,7422
15,1,6,10,8010
15,1,6,11,8465
15,1,6,12,8272
15,1,6,13,8169
15,1,6,14,8265
15,1,6,15,8092
15,1,6,16,7930
15,1,6,17,7743
15,1,6,18,8330
15,1,6,19,8743
15,1,6,20,8442
15,1,6,21,8235
15,1,6,22,7687
15,1,6,23,7047
15,1,6,24,6535
15,1,7,1,6217
15,1,7,2,6017
15,1,7,3,5847
15,1,7,4,5703
15,1,7,5,5743
15,1,7,6,5749
15,1,7,7,5673
15,1,7,8,5921
15,1,7,9,6405
15,1,7,10,7011
15,1,7,11,7317
15,1,7,12,7320
15,1,7,13,7378
15,1,7,14,7335
15,1,7,15,7261
15,1,7,16,7104
15,1,7,17,7012
15,1,7,18,7709
15,1,7,19,8280
15,1,7,20,8156
15,1,7,21,7798
15,1,7,22,7228
15,1,7,23,6724
15,1,7,24,6304
15,1,1,1,5979
15,1,1,2,5721
15,1,1,3,5614
15,1,1,4,5558
15,1,1,5,5897
15,1,1,6,6335
15,1,1,7,6396
15,1,1,8,7115
15,1,1,9,8206
15,1,1,10,8891
15,1,1,11,9273
15,1,1,12,9074
15,1,1,13,8957
15,1,1,14,9336
15,1,1,15,9124
15,1,1,16,8978
15,1,1,17,8584
15,1,1,18,8818
15,1,1,19,9113
15,1,1,20,8754
15,1,1,21,8353
15,1,1,22,7697
15,1,1,23,7031
15,1,1,24,6530
15,1,2,1,6259
15,1,2,2,6074
15,1,2,3,5910
15,1,2,4,5918
15,1,2,5,6165
15,1,2,6,6527
15,1,2,7,6469
15,1,2,8,7196
15,1,2,9,8158
15,1,2,10,8678
15,1,2,11,9089
15,1,2,12,8814
15,1,2,13,8744
15,1,2,14,9017
15,1,2,15,8871
15,1,2,16,8696
15,1,2,17,8606
15,1,2,18,8815
15,1,2,19,9149
15,1,2,20,8754
15,1,2,21,8275
15,1,2,22,7660
15,1,2,23,6953
