DATE,YEAR,MONTH,WEEKDAY, HR ,PH
1/1/2013,2013,1,2,1,6331
1/1/2013,2013,1,2,2,5702
1/1/2013,2013,1,2,3,5373
1/1/2013,2013,1,2,4,5121
1/1/2013,2013,1,2,5,5029
1/1/2013,2013,1,2,6,4903
1/1/2013,2013,1,2,7,4693
1/1/2013,2013,1,2,8,4775
1/1/2013,2013,1,2,9,4895
1/1/2013,2013,1,2,10,5041
1/1/2013,2013,1,2,11,5343
1/1/2013,2013,1,2,12,5667
1/1/2013,2013,1,2,13,5654
1/1/2013,2013,1,2,14,5700
1/1/2013,2013,1,2,15,5642
1/1/2013,2013,1,2,16,5597
1/1/2013,2013,1,2,17,5605
1/1/2013,2013,1,2,18,6690
1/1/2013,2013,1,2,19,7033
1/1/2013,2013,1,2,20,6994
1/1/2013,2013,1,2,21,6761
1/1/2013,2013,1,2,22,6326
1/1/2013,2013,1,2,23,5837
1/1/2013,2013,1,2,24,5449
1/2/2013,2013,1,3,1,5252
1/2/2013,2013,1,3,2,5097
1/2/2013,2013,1,3,3,4945
1/2/2013,2013,1,3,4,4859
1/2/2013,2013,1,3,5,4924
1/2/2013,2013,1,3,6,5135
1/2/2013,2013,1,3,7,5364
1/2/2013,2013,1,3,8,6144
1/2/2013,2013,1,3,9,7186
1/2/2013,2013,1,3,10,7958
1/2/2013,2013,1,3,11,8347
1/2/2013,2013,1,3,12,8297
1/2/2013,2013,1,3,13,8256
1/2/2013,2013,1,3,14,8468
1/2/2013,2013,1,3,15,8331
1/2/2013,2013,1,3,16,8262
1/2/2013,2013,1,3,17,7967
1/2/2013,2013,1,3,18,8641
1/2/2013,2013,1,3,19,8653
1/2/2013,2013,1,3,20,8328
1/2/2013,2013,1,3,21,7970
1/2/2013,2013,1,3,22,7476
1/2/2013,2013,1,3,23,6863
1/2/2013,2013,1,3,24,6445
1/3/2013,2013,1,4,1,6119
1/3/2013,2013,1,4,2,5905
1/3/2013,2013,1,4,3,5758
1/3/2013,2013,1,4,4,5755
1/3/2013,2013,1,4,5,5827
1/3/2013,2013,1,4,6,6076
1/3/2013,2013,1,4,7,6279
1/3/2013,2013,1,4,8,6944
1/3/2013,2013,1,4,9,8011
1/3/2013,2013,1,4,10,8657
1/3/2013,2013,1,4,11,8974
1/3/2013,2013,1,4,12,8860
1/3/2013,2013,1,4,13,8758
1/3/2013,2013,1,4,14,9037
1/3/2013,2013,1,4,15,8865
1/3/2013,2013,1,4,16,8772
1/3/2013,2013,1,4,17,8528
1/3/2013,2013,1,4,18,9109
1/3/2013,2013,1,4,19,9093
1/3/2013,2013,1,4,20,8740
1/3/2013,2013,1,4,21,8390
1/3/2013,2013,1,4,22,7781
1/3/2013,2013,1,4,23,7191
1/3/2013,2013,1,4,24,6706
1/4/2013,2013,1,5,1,6475
1/4/2013,2013,1,5,2,6198
1/4/2013,2013,1,5,3,6053
1/4/2013,2013,1,5,4,5977
