DATE,YEAR,MONTH,DAY, HR ,LUZON,VISAYAS,MINDANAO,PH
1/1/2013,2013,1,1, 1 ,4303,1100,928,6331
1/1/2013,2013,1,1, 2 ,3918,965,819,5702
1/1/2013,2013,1,1, 3 ,3709,903,761,5373
1/1/2013,2013,1,1, 4 ,3529,864,728,5121
1/1/2013,2013,1,1, 5 ,3450,848,731,5029
1/1/2013,2013,1,1, 6 ,3411,815,677,4903
1/1/2013,2013,1,1, 7 ,3240,794,659,4693
1/1/2013,2013,1,1, 8 ,3292,810,673,4775
1/1/2013,2013,1,1, 9 ,3362,835,698,4895
1/1/2013,2013,1,1, 10 ,3461,867,713,5041
1/1/2013,2013,1,1, 11 ,3699,896,748,5343
1/1/2013,2013,1,1, 12 ,3945,942,780,5667
1/1/2013,2013,1,1, 13 ,3921,941,792,5654
1/1/2013,2013,1,1, 14 ,3945,955,800,5700
1/1/2013,2013,1,1, 15 ,3889,948,805,5642
1/1/2013,2013,1,1, 16 ,3861,934,802,5597
1/1/2013,2013,1,1, 17 ,3883,924,798,5605
1/1/2013,2013,1,1, 18 ,4558,1163,969,6690
1/1/2013,2013,1,1, 19 ,4800,1226,1007,7033
1/1/2013,2013,1,1, 20 ,4791,1176,1027,6994
1/1/2013,2013,1,1, 21 ,4668,1120,973,6761
1/1/2013,2013,1,1, 22 ,4406,1034,886,6326
1/1/2013,2013,1,1, 23 ,4075,951,811,5837
1/1/2013,2013,1,1, 24 ,3794,889,766,5449
1/2/2013,2013,1,2, 1 ,3657,863,732,5252
1/2/2013,2013,1,2, 2 ,3545,842,710,5097
1/2/2013,2013,1,2, 3 ,3437,818,690,4945
1/2/2013,2013,1,2, 4 ,3373,808,678,4859
1/2/2013,2013,1,2, 5 ,3418,820,686,4924
1/2/2013,2013,1,2, 6 ,3588,836,711,5135
1/2/2013,2013,1,2, 7 ,3781,850,733,5364
1/2/2013,2013,1,2, 8 ,4375,949,820,6144
1/2/2013,2013,1,2, 9 ,5110,1124,952,7186
1/2/2013,2013,1,2, 10 ,5701,1215,1042,7958
1/2/2013,2013,1,2, 11 ,6011,1253,1083,8347
1/2/2013,2013,1,2, 12 ,5976,1252,1069,8297
1/2/2013,2013,1,2, 13 ,5950,1251,1055,8256
1/2/2013,2013,1,2, 14 ,6115,1271,1082,8468
1/2/2013,2013,1,2, 15 ,6036,1264,1031,8331
1/2/2013,2013,1,2, 16 ,5944,1245,1073,8262
1/2/2013,2013,1,2, 17 ,5676,1209,1082,7967
1/2/2013,2013,1,2, 18 ,6061,1382,1198,8641
1/2/2013,2013,1,2, 19 ,6092,1381,1180,8653
1/2/2013,2013,1,2, 20 ,5874,1325,1129,8328
1/2/2013,2013,1,2, 21 ,5676,1239,1055,7970
1/2/2013,2013,1,2, 22 ,5371,1151,954,7476
1/2/2013,2013,1,2, 23 ,4944,1054,865,6863
1/2/2013,2013,1,2, 24 ,4675,976,794,6445
1/3/2013,2013,1,3, 1 ,4446,907,766,6119
1/3/2013,2013,1,3, 2 ,4273,886,746,5905
1/3/2013,2013,1,3, 3 ,4153,872,733,5758
1/3/2013,2013,1,3, 4 ,4160,871,724,5755
1/3/2013,2013,1,3, 5 ,4213,890,724,5827
1/3/2013,2013,1,3, 6 ,4372,924,780,6076
1/3/2013,2013,1,3, 7 ,4577,927,775,6279
1/3/2013,2013,1,3, 8 ,5075,1010,859,6944
1/3/2013,2013,1,3, 9 ,5810,1175,1026,8011
1/3/2013,2013,1,3, 10 ,6309,1253,1095,8657
1/3/2013,2013,1,3, 11 ,6531,1293,1150,8974
1/3/2013,2013,1,3, 12 ,6446,1263,1151,8860
1/3/2013,2013,1,3, 13 ,6353,1257,1148,8758
1/3/2013,2013,1,3, 14 ,6556,1310,1171,9037
1/3/2013,2013,1,3, 15 ,6403,1303,1159,8865
1/3/2013,2013,1,3, 16 ,6359,1279,1134,8772
1/3/2013,2013,1,3, 17 ,6167,1253,1108,8528
1/3/2013,2013,1,3, 18 ,6454,1422,1233,9109
1/3/2013,2013,1,3, 19 ,6457,1414,1222,9093
1/3/2013,2013,1,3, 20 ,6220,1337,1183,8740
1/3/2013,2013,1,3, 21 ,6010,1264,1116,8390
1/3/2013,2013,1,3, 22 ,5636,1150,995,7781
1/3/2013,2013,1,3, 23 ,5237,1063,891,7191
1/3/2013,2013,1,3, 24 ,4878,993,835,6706
1/4/2013,2013,1,4, 1 ,4734,952,789,6475
1/4/2013,2013,1,4, 2 ,4509,920,769,6198
1/4/2013,2013,1,4, 3 ,4428,888,737,6053
1/4/2013,2013,1,4, 4 ,4349,881,747,5977
1/4/2013,2013,1,4, 5 ,4388,893,769,6050
1/4/2013,2013,1,4, 6 ,4612,934,792,6338
1/4/2013,2013,1,4, 7 ,4715,933,791,6439
1/4/2013,2013,1,4, 8 ,5237,1043,874,7154
1/4/2013,2013,1,4, 9 ,5963,1212,983,8158
1/4/2013,2013,1,4, 10 ,6383,1290,1106,8779
1/4/2013,2013,1,4, 11 ,6686,1342,1135,9163
1/4/2013,2013,1,4, 12 ,6532,1318,1101,8951
1/4/2013,2013,1,4, 13 ,6460,1307,1110,8877
1/4/2013,2013,1,4, 14 ,6624,1355,1143,9122
1/4/2013,2013,1,4, 15 ,6577,1334,1130,9041
1/4/2013,2013,1,4, 16 ,6520,1314,1140,8974
1/4/2013,2013,1,4, 17 ,6209,1260,1099,8568
1/4/2013,2013,1,4, 18 ,6469,1426,1223,9118
1/4/2013,2013,1,4, 19 ,6491,1428,1207,9126
1/4/2013,2013,1,4, 20 ,6235,1372,1174,8781
1/4/2013,2013,1,4, 21 ,6090,1298,1124,8512
1/4/2013,2013,1,4, 22 ,5697,1180,1007,7884
1/4/2013,2013,1,4, 23 ,5421,1082,908,7411
1/4/2013,2013,1,4, 24 ,5044,1008,841,6893
1/5/2013,2013,1,5, 1 ,4807,959,807,6573
1/5/2013,2013,1,5, 2 ,4688,923,781,6392
1/5/2013,2013,1,5, 3 ,4552,906,761,6219
1/5/2013,2013,1,5, 4 ,4421,897,758,6076
1/5/2013,2013,1,5, 5 ,4449,906,770,6125
1/5/2013,2013,1,5, 6 ,4562,916,787,6265
1/5/2013,2013,1,5, 7 ,4536,917,787,6240
1/5/2013,2013,1,5, 8 ,4976,995,843,6814
1/5/2013,2013,1,5, 9 ,5625,1130,939,7694
1/5/2013,2013,1,5, 10 ,6003,1215,1035,8253
1/5/2013,2013,1,5, 11 ,6199,1260,1093,8552
1/5/2013,2013,1,5, 12 ,6148,1234,1088,8470
1/5/2013,2013,1,5, 13 ,6074,1220,1101,8395
1/5/2013,2013,1,5, 14 ,6248,1250,1126,8624
1/5/2013,2013,1,5, 15 ,6130,1220,1110,8460
1/5/2013,2013,1,5, 16 ,6002,1199,1081,8282
1/5/2013,2013,1,5, 17 ,5788,1168,1072,8028
1/5/2013,2013,1,5, 18 ,6231,1365,1232,8828
1/5/2013,2013,1,5, 19 ,6341,1396,1228,8965
1/5/2013,2013,1,5, 20 ,6183,1341,1181,8705
1/5/2013,2013,1,5, 21 ,6061,1274,1145,8480
1/5/2013,2013,1,5, 22 ,5710,1169,1017,7896
1/5/2013,2013,1,5, 23 ,5373,1068,933,7374
1/5/2013,2013,1,5, 24 ,5044,994,858,6896
1/6/2013,2013,1,6, 1 ,4755,946,821,6522
1/6/2013,2013,1,6, 2 ,4642,913,788,6343
1/6/2013,2013,1,6, 3 ,4466,889,766,6121
1/6/2013,2013,1,6, 4 ,4443,872,759,6074
1/6/2013,2013,1,6, 5 ,4404,870,757,6031
1/6/2013,2013,1,6, 6 ,4409,866,764,6039
1/6/2013,2013,1,6, 7 ,4300,854,751,5905
1/6/2013,2013,1,6, 8 ,4459,908,766,6133
1/6/2013,2013,1,6, 9 ,4849,988,831,6668
1/6/2013,2013,1,6, 10 ,5235,1066,893,7194
1/6/2013,2013,1,6, 11 ,5489,1117,951,7557
1/6/2013,2013,1,6, 12 ,5535,1131,944,7610
1/6/2013,2013,1,6, 13 ,5440,1121,940,7501
